[9/23/2015 8:57:24 AM] Connection to station PBAY could not be established.
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032a.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032b.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032c.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032d.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032e.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032f.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032g.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032h.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032i.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032j.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032k.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032l.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032n.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032o.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032p.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY032q.m00 varsam[8].Substring(4, 3)): 032 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY034b.m42 varsam[8].Substring(4, 3)): 034 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY034c.m00 varsam[8].Substring(4, 3)): 034 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY034d.m00 varsam[8].Substring(4, 3)): 034 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY034e.m00 varsam[8].Substring(4, 3)): 034 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY034f.m00 varsam[8].Substring(4, 3)): 034 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY034g.m00 varsam[8].Substring(4, 3)): 034 varsam[8].Substring(9, 1)):m
